Town/County,Year,Industry Name,Measure Type,Value
Hartford County,2014,All Industries,US Dollars,63799
Hartford County,2014,Local/Municipal Government,US Dollars,57045
Hartford County,2014,Construction,US Dollars,63584
Hartford County,2014,Manufacturing,US Dollars,81006
Hartford County,2014,Retail Trade,US Dollars,29518
Hartford County,2014,Finance And Insurance,US Dollars,125049
Hartford County,2014,Health Care And Social Assistance,US Dollars,53235
Hartland,2014,Local/Municipal Government,US Dollars,42116.507205
Hartland,2014,State Government,US Dollars,40479.652174
Hartland,2014,Construction,US Dollars,40572.097561
Hartland,2014,Manufacturing,US Dollars,0
Hartland,2014,Retail Trade,US Dollars,0
Hartland,2014,Other Services (Except Public Admin),US Dollars,24819.540984
Harwinton,2014,Local/Municipal Government,US Dollars,46268.848129
Harwinton,2014,Construction,US Dollars,67355.00216
Harwinton,2014,Manufacturing,US Dollars,32212.8
Harwinton,2014,Retail Trade,US Dollars,20328.950943
Harwinton,2014,Accommodation And Food Services,US Dollars,15024.982097
Hebron,2014,Local/Municipal Government,US Dollars,38942.266537
Hebron,2014,Construction,US Dollars,37532.957265
Hebron,2014,Manufacturing,US Dollars,-9999
Hebron,2014,Retail Trade,US Dollars,23864.958965
Hebron,2014,Health Care & Social Assistance,US Dollars,32133.487798
Hebron,2014,Accommodation And Food Services,US Dollars,13545.474553
Kent,2014,Construction,US Dollars,33535.470817
Kent,2014,Manufacturing,US Dollars,51651.428571
Kent,2014,Retail Trade,US Dollars,23040.738935
Kent,2014,Educational Services,US Dollars,48074.807245
Kent,2014,Health Care & Social Assistance,US Dollars,43889.732029
Kent,2014,Accommodation And Food Services,US Dollars,25885.016265
Killingly,2014,Local/Municipal Government,US Dollars,44362.228856
Killingly,2014,Construction,US Dollars,54209.000946
Killingly,2014,Manufacturing,US Dollars,55340.564407
Killingly,2014,Retail Trade,US Dollars,27589.500217
Killingly,2014,Transportation & Warehousing,US Dollars,46744.857049
Killingly,2014,Health Care & Social Assistance,US Dollars,35631.810659
Killingworth,2014,Local/Municipal Government,US Dollars,59445.666667
Killingworth,2014,Construction,US Dollars,44529.685279
Killingworth,2014,Manufacturing,US Dollars,-9999
Killingworth,2014,Retail Trade,US Dollars,30827.656697
Killingworth,2014,Administrative & Waste Management,US Dollars,31162.361446
Lebanon,2014,Local/Municipal Government,US Dollars,45011.778666
Lebanon,2014,Construction,US Dollars,27971.583127
Lebanon,2014,Manufacturing,US Dollars,-9999
Lebanon,2014,Wholesale Trade,US Dollars,21997.760991
Lebanon,2014,Retail Trade,US Dollars,-9999
Lebanon,2014,Health Care & Social Assistance,US Dollars,30344.189366
Ledyard,2014,Local/Municipal Government,US Dollars,38666.977754
Ledyard,2014,Construction,US Dollars,38431.460485
Ledyard,2014,Manufacturing,US Dollars,90927.968073
Ledyard,2014,Retail Trade,US Dollars,26145.675599
Ledyard,2014,Health Care & Social Assistance,US Dollars,42012.474122
Ledyard,2014,Accommodation And Food Services,US Dollars,21986.349465
Lisbon,2014,Local/Municipal Government,US Dollars,38673.248208
Lisbon,2014,Construction,US Dollars,44438.495726
Lisbon,2014,Manufacturing,US Dollars,-9999
Lisbon,2014,Retail Trade,US Dollars,22533.840553
Lisbon,2014,Health Care & Social Assistance,US Dollars,41098.564103
Lisbon,2014,Accommodation And Food Services,US Dollars,16396.734669
Litchfield,2014,Local/Municipal Government,US Dollars,52210.324607
Litchfield,2014,Construction,US Dollars,49190.355987
Litchfield,2014,Manufacturing,US Dollars,26021.084746
Litchfield,2014,Retail Trade,US Dollars,32236.764602
Litchfield,2014,Health Care & Social Assistance,US Dollars,36092.767488
Litchfield,2014,Accommodation And Food Services,US Dollars,20196.160486
